Монетарный обзор по банкам,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
млн. тенге/ на конец периода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.22,2.22,3.22,4.22,5.22,6.22,7.22,8.22,9.22,10.22,11.22,12.22,1.23,2.23,3.23,4.23,5.23,6.23,7.23,8.23,9.23,10.23,11.23,12.23,1.24,2.24,3.24,4.24,5.24,6.24,7.24,8.24,9.24,10.24,11.24,12.24,1.25,2.25,3.25,4.25,5.25,6.25,7.25,8.25,9.25,10.25,11.25
Чистые внешние активы,1981531.0,2314525.0,1299175.0,1053398.0,735687.0,980537.0,1171103.0,1092866.0,1637786.0,1513314.0,1461991.0,810249.0,977628.0,985986.0,1021625.0,994350.0,1046771.0,838901.0,867068.0,962186.0,825402.0,794546.0,987635.0,837480.0,242528.0,598833.0,536197.0,319736.0,-34166.0,-440462.0,-240054.0,-414683.0,-448699.0,-163735.0,334282.0,380772.0,441092.0,344439.0,585170.0,1044642.0,935085.0,749779.0,1169326.0,730278.0,289682.0,528599.0,1268840.0
"Чистые внешние активы, СКВ",1695731.0,2207329.0,1930691.0,1798958.0,1634332.0,1720130.0,1851089.0,1519482.0,1355297.0,1252493.0,1228470.0,820973.0,1015481.0,1322572.0,1413414.0,1484009.0,1651169.0,1529749.0,1611283.0,1686920.0,1614572.0,1594923.0,1735147.0,1459100.0,1034225.0,1432354.0,1422955.0,1143383.0,948665.0,608579.0,788363.0,620890.0,651659.0,931769.0,1323880.0,1302997.0,1391033.0,1171867.0,1407210.0,1975024.0,1889621.0,1632861.0,2161523.0,1881876.0,1358518.0,1673345.0,2400848.0
"Требования к нерезидентам, СКВ",2438925.0,2974843.0,2658815.0,2429616.0,2412940.0,2844364.0,3185894.0,2996726.0,3073883.0,3021838.0,3424119.0,3293138.0,3464308.0,3511492.0,3716019.0,3675612.0,3877336.0,3674924.0,3856288.0,3865532.0,3923198.0,3894259.0,4117701.0,4069307.0,3692544.0,4128769.0,4159861.0,3795655.0,3956897.0,3891460.0,4043332.0,4533777.0,4105637.0,4316477.0,4369593.0,4448787.0,4472012.0,4839168.0,5180961.0,5711190.0,5816304.0,5783801.0,5911599.0,5723877.0,5508303.0,5660033.0,6116943.0
"Минус: Обязательства перед нерезидентами, СКВ",743195.0,767514.0,728124.0,630658.0,778608.0,1124234.0,1334805.0,1477245.0,1718585.0,1769345.0,2195650.0,2472164.0,2448827.0,2188920.0,2302604.0,2191603.0,2226167.0,2145175.0,2245005.0,2178613.0,2308626.0,2299336.0,2382554.0,2610207.0,2658319.0,2696415.0,2736906.0,2652271.0,3008232.0,3282881.0,3254969.0,3912887.0,3453978.0,3384708.0,3045713.0,3145790.0,3080979.0,3667302.0,3773750.0,3736165.0,3926684.0,4150940.0,3750076.0,3842001.0,4149785.0,3986687.0,3716095.0
"Прочие чистые внешние активы, ПВВ",285800.0,107196.0,-631516.0,-745560.0,-898645.0,-739592.0,-679986.0,-426616.0,282489.0,260821.0,233521.0,-10724.0,-37853.0,-336586.0,-391789.0,-489659.0,-604398.0,-690848.0,-744215.0,-724733.0,-789170.0,-800378.0,-747512.0,-621620.0,-791698.0,-833521.0,-886757.0,-823647.0,-982831.0,-1049041.0,-1028417.0,-1035573.0,-1100358.0,-1095504.0,-989598.0,-922225.0,-949941.0,-827427.0,-822040.0,-930383.0,-954535.0,-883082.0,-992196.0,-1151598.0,-1068836.0,-1144746.0,-1132008.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Внутренние активы,27389802.0,28019433.0,27820681.0,27353618.0,26988505.0,28493325.0,29115357.0,30024026.0,30377908.0,31045003.0,31125244.0,32860771.0,32108791.0,31753687.0,32426883.0,31957704.0,32201714.0,33733837.0,33385699.0,33387613.0,34189122.0,34755795.0,35090976.0,36856922.0,36905081.0,37114710.0,37787247.0,37597701.0,38324249.0,40235000.0,41361669.0,41577712.0,42118503.0,42162608.0,42398238.0,44480036.0,43353888.0,43214080.0,43586175.0,43627416.0,44562126.0,45694377.0,45692663.0,47014044.0,47530472.0,48041977.0,47099381.0
Резервы,6410741.0,6527598.0,6589683.0,5864482.0,5900531.0,6380287.0,7253455.0,7824348.0,7493260.0,8104988.0,7379226.0,7430749.0,6437782.0,5872226.0,5868942.0,5336813.0,5234464.0,5591466.0,5072167.0,4634044.0,4317495.0,4937119.0,5463503.0,6360781.0,7036177.0,6647960.0,7507723.0,7136070.0,7371319.0,7961526.0,8283266.0,8020454.0,8507015.0,8401400.0,7454008.0,8988580.0,8632830.0,8380558.0,8672661.0,8381795.0,8599892.0,8373015.0,8985340.0,9319788.0,8774485.0,9262157.0,8150142.0
Переводимые и другие депозиты в НБК,5971805.0,6112011.0,6124436.0,5396343.0,5456852.0,5966279.0,6818618.0,7358808.0,7046568.0,7649631.0,6929412.0,6967609.0,6001215.0,5438044.0,5431875.0,4907267.0,4810209.0,5172679.0,4659692.0,4197540.0,3910768.0,4503785.0,5033089.0,5890626.0,6610885.0,6240505.0,7085982.0,6706553.0,6939740.0,7555111.0,7842107.0,7564475.0,8082482.0,7950880.0,6991056.0,8500922.0,8178530.0,7923809.0,8229513.0,7927445.0,8167613.0,7938338.0,8523048.0,8855671.0,8293096.0,8735747.0,7683760.0
Наличная национальная валюта,438935.0,415587.0,465247.0,468140.0,443679.0,414007.0,434837.0,465541.0,446692.0,455357.0,449815.0,463140.0,436567.0,434182.0,437066.0,429546.0,424255.0,418787.0,412476.0,436503.0,406727.0,433334.0,430414.0,470155.0,425291.0,407455.0,421740.0,429517.0,431579.0,406415.0,441159.0,455979.0,424533.0,450520.0,462952.0,487658.0,454301.0,456748.0,443149.0,454350.0,432279.0,434677.0,462292.0,464117.0,481389.0,526410.0,466382.0
Другие требования к НБК,1329696.0,1316666.0,1247672.0,1262021.0,1236914.0,1265721.0,1349589.0,1320535.0,1363889.0,1049092.0,1196040.0,1845120.0,2047709.0,2418484.0,2364517.0,2086557.0,2028601.0,2239403.0,2057050.0,2088950.0,2145617.0,1769550.0,1361404.0,1012693.0,846940.0,594279.0,269944.0,263106.0,218513.0,298421.0,310048.0,190572.0,195771.0,220035.0,278203.0,263370.0,277721.0,223653.0,346745.0,273373.0,250312.0,203709.0,100764.0,144851.0,91291.0,32095.0,23067.0
Чистые требования к Центральному Правительству,3991285.0,4150952.0,3972450.0,3947629.0,3715251.0,4004261.0,3841476.0,4042891.0,4187147.0,4241649.0,4285931.0,4417488.0,4658941.0,5059169.0,5277344.0,5380470.0,5414187.0,5924402.0,5856243.0,5954348.0,6188993.0,6362084.0,6275172.0,6375618.0,6802032.0,7152537.0,7284960.0,7259789.0,7301217.0,7825522.0,8267632.0,8478856.0,8611900.0,8294266.0,8525828.0,8698045.0,8395228.0,8421640.0,7858101.0,7730336.0,7352315.0,7770766.0,6925957.0,7174602.0,7384661.0,7063950.0,7314608.0
Валовые требования,4192018.0,4343414.0,4166999.0,4192708.0,3956783.0,4252528.0,4087103.0,4293150.0,4437036.0,4489629.0,4538569.0,4664553.0,4907077.0,5301344.0,5541662.0,5644894.0,5675199.0,6188025.0,6106516.0,6202029.0,6437038.0,6611462.0,6538581.0,6640779.0,7063149.0,7412930.0,7537626.0,7513634.0,7551637.0,8075541.0,8519061.0,8728911.0,8863539.0,8541399.0,8782301.0,8954858.0,8648282.0,8670740.0,8102485.0,7980024.0,7601528.0,8028415.0,7173899.0,7421541.0,7632987.0,7319318.0,7564683.0
Минус: обязательства,200734.0,192463.0,194550.0,245079.0,241532.0,248267.0,245627.0,250259.0,249889.0,247980.0,252638.0,247065.0,248136.0,242175.0,264317.0,264424.0,261012.0,263623.0,250273.0,247681.0,248045.0,249378.0,263409.0,265161.0,261117.0,260394.0,252666.0,253845.0,250420.0,250020.0,251429.0,250055.0,251639.0,247132.0,256473.0,256812.0,253054.0,249100.0,244384.0,249688.0,249214.0,257649.0,247943.0,246939.0,248327.0,255368.0,250074.0
Требования к региональным и местным органам управления,14461.0,14402.0,13359.0,13214.0,13276.0,13317.0,13593.0,13825.0,13156.0,13259.0,13578.0,13224.0,12923.0,13636.0,13054.0,13315.0,13273.0,13278.0,13401.0,13522.0,13002.0,13054.0,13169.0,13446.0,13953.0,14265.0,13705.0,13774.0,13673.0,13709.0,13983.0,14061.0,13559.0,13671.0,13968.0,14162.0,14283.0,14284.0,13517.0,13545.0,13631.0,13778.0,13824.0,14053.0,13502.0,13715.0,13955.0
Требования к небанковским финансовым организациям,2211177.0,1988426.0,1948819.0,2079900.0,2001466.0,1970310.0,1883592.0,1803557.0,1951884.0,2009516.0,2075580.0,2441767.0,2467634.0,2094282.0,2373177.0,2277925.0,2386053.0,2412326.0,2476039.0,2347839.0,2791489.0,2692776.0,2643838.0,2890141.0,2297571.0,2463219.0,2349505.0,2332620.0,2389829.0,2491356.0,2535673.0,2537003.0,2513303.0,2623114.0,2884970.0,2540744.0,2531391.0,2506260.0,2686802.0,2505355.0,2796833.0,3322971.0,2954095.0,3023659.0,3078844.0,3236621.0,3248142.0
Требования к государственным нефинансовым организациям,601998.0,674305.0,694550.0,705951.0,728367.0,803373.0,747222.0,755680.0,725138.0,749318.0,793702.0,873865.0,837535.0,806602.0,823848.0,824093.0,788455.0,784738.0,778886.0,790112.0,887786.0,897517.0,807216.0,777381.0,794466.0,800728.0,809683.0,775531.0,856166.0,848598.0,834772.0,843325.0,801842.0,725560.0,692608.0,690279.0,700350.0,706445.0,746755.0,898311.0,907955.0,783815.0,872042.0,740119.0,786929.0,818428.0,843850.0
Требования к негосударственным нефинансовым организациям,8461643.0,8840558.0,8786173.0,8771605.0,8579724.0,8736134.0,8712915.0,8663779.0,8792107.0,8828590.0,9005682.0,9266501.0,9171020.0,9153590.0,9204767.0,9486086.0,9530805.0,9433955.0,9299628.0,9441668.0,9516202.0,9589928.0,9764840.0,10468045.0,10178301.0,10348084.0,10253493.0,10401321.0,10466185.0,10726926.0,10698409.0,10860918.0,10748184.0,10944605.0,11324483.0,11840393.0,11404691.0,11423797.0,11606762.0,11729341.0,11799338.0,12132755.0,12401930.0,12613016.0,12920510.0,13031546.0,13019462.0
