Денежная база и агрегаты широкой денежной массы,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
млн. тенге/ на конец периода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.22,2.22,3.22,4.22,5.22,6.22,7.22,8.22,9.22,10.22,11.22,12.22,1.23,2.23,3.23,4.23,5.23,6.23,7.23,8.23,9.23,10.23,11.23,12.23,1.24,2.24,3.24,4.24,5.24,6.24,7.24,8.24,9.24,10.24,11.24,12.24,1.25,2.25,3.25,4.25,5.25,6.25,7.25,8.25,9.25,10.25,11.25
1. Денежная база (резервные деньги),10683934.0,10764863.0,10791800.0,9968049.0,9875008.0,10688772.0,11579074.0,12076477.0,11871384.0,12374432.0,11719902.0,11874422.0,10678782.0,10047215.0,10284491.0,9854371.0,9654031.0,10440847.0,9586967.0,9068158.0,8843495.0,9620615.0,10126464.0,11539973.0,11819843.0,11526650.0,12302588.0,12290583.0,12681766.0,13275974.0,13477031.0,13324363.0,13741720.0,13540027.0,12546103.0,14606537.0,14012242.0,13662625.0,13787210.0,13534795.0,13973748.0,14019117.0,14687046.0,15067944.0,14344179.0,14842893.0,13765314.0
Изменения за месяц в %,-2.5,0.8,0.3,-7.6,-0.9,8.2,8.3,4.3,-1.7,4.2,-5.3,1.3,-10.1,-5.9,2.4,-4.2,-2.0,8.2,-8.2,-5.4,-2.5,8.8,5.3,14.0,2.4,-2.5,6.7,-0.1,3.2,4.7,1.5,-1.1,3.1,-1.5,-7.3,16.4,-4.1,-2.5,0.9,-1.8,3.2,0.3,4.8,2.6,-4.8,3.5,-7.3
"Изменение за период с начала года, %",-2.5,-1.8,-1.5,-9.0,-9.9,-2.5,5.7,10.2,8.3,12.9,7.0,8.4,-10.1,-15.4,-13.4,-17.0,-18.7,-12.1,-19.3,-23.6,-25.5,-19.0,-14.7,-2.8,2.4,-0.1,6.6,6.5,9.9,15.0,16.8,15.5,19.1,17.3,8.7,26.6,-4.1,-6.5,-5.6,-7.3,-4.3,-4.0,0.6,3.2,-1.8,1.6,-5.8
1.1 наличные деньги вне НБК,3429933.0,3408116.0,3523866.0,3574720.0,3520450.0,3674234.0,3779485.0,3762229.0,3762939.0,3765032.0,3701002.0,3823793.0,3687694.0,3630271.0,3656211.0,3793068.0,3775641.0,3914126.0,3919342.0,3950919.0,3960098.0,3965167.0,3902340.0,4109817.0,4039710.0,4028124.0,4060834.0,4068003.0,4134431.0,4323683.0,4408645.0,4503882.0,4415747.0,4488750.0,4525368.0,4862203.0,4735682.0,4681680.0,4725146.0,4874328.0,4934084.0,5158676.0,5259184.0,5286624.0,5173407.0,5179134.0,5036725.0
1.2 депозиты БВУ и других организаций в НБК,7254001.0,7356747.0,7267934.0,6393329.0,6354557.0,7014538.0,7799589.0,8314247.0,8108445.0,8609400.0,8018900.0,8050629.0,6991088.0,6416944.0,6628280.0,6061303.0,5878390.0,6526720.0,5667625.0,5117238.0,4883397.0,5655448.0,6224124.0,7430156.0,7780133.0,7498526.0,8241754.0,8222580.0,8547335.0,8952292.0,9068387.0,8820481.0,9325973.0,9051277.0,8020734.0,9744334.0,9276560.0,8980946.0,9062064.0,8660467.0,9039664.0,8860441.0,9427863.0,9781320.0,9170772.0,9663759.0,8728589.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Денежная база (в узком выражении),7008007.0,7909224.0,7211683.0,7242428.0,7037712.0,7096525.0,7574108.0,7941086.0,7210051.0,7570781.0,6897649.0,7374898.0,6582257.0,6544293.0,6606830.0,6383209.0,6208576.0,6860013.0,6491522.0,6551424.0,6493873.0,6529219.0,6577664.0,7142913.0,6831249.0,6713521.0,6278732.0,6781258.0,6907991.0,6886619.0,6738224.0,6846525.0,6681236.0,6817764.0,6878649.0,7532310.0,7132184.0,7222418.0,6912772.0,6927221.0,7058908.0,7110612.0,7539173.0,7661704.0,8927040.0,9300659.0,9043566.0
Изменения за месяц в %,0.9,12.9,-8.8,0.4,-2.8,0.8,6.7,4.8,-9.2,5.0,-8.9,6.9,-10.7,-0.6,1.0,-3.4,-2.7,10.5,-5.4,0.9,-0.9,0.5,0.7,8.6,-4.4,-1.7,-6.5,8.0,1.9,-0.3,-2.2,1.6,-2.4,2.0,0.9,9.5,-5.3,1.3,-4.3,0.2,1.9,0.7,6.0,1.6,16.5,4.2,-2.8
"Изменение за период с начала года, %",0.9,13.9,3.8,4.3,1.3,2.2,9.1,14.3,3.8,9.0,-0.7,6.2,-10.7,-11.3,-10.4,-13.4,-15.8,-7.0,-12.0,-11.2,-11.9,-11.5,-10.8,-3.1,-4.4,-6.0,-12.1,-5.1,-3.3,-3.6,-5.7,-4.1,-6.5,-4.6,-3.7,5.5,-5.3,-4.1,-8.2,-8.0,-6.3,-5.6,0.1,1.7,18.5,23.5,20.1
резервные депозиты БВУ в НБРК,2355116.0,3241122.0,2535485.0,2572547.0,2355292.0,2201695.0,2630146.0,2982461.0,2304152.0,2592492.0,1913640.0,2202901.0,1643442.0,1659809.0,1654622.0,1292230.0,1139901.0,1309348.0,1342609.0,1449843.0,1271845.0,1347906.0,1283778.0,1483719.0,1556051.0,1395575.0,1035162.0,1209203.0,1190485.0,1073890.0,1004243.0,1084200.0,991225.0,1132641.0,1186766.0,1372456.0,1156468.0,1255203.0,1220802.0,1130854.0,1199383.0,993761.0,1343839.0,1388616.0,2745602.0,3093313.0,2779930.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. M0 (наличные деньги в обращении)   ,2990997.0,2992529.0,3058620.0,3106580.0,3076771.0,3260227.0,3344648.0,3296689.0,3316247.0,3309675.0,3251187.0,3360653.0,3251127.0,3196089.0,3219144.0,3363522.0,3351386.0,3495339.0,3506866.0,3514416.0,3553371.0,3531833.0,3471926.0,3639662.0,3614419.0,3620669.0,3639093.0,3638486.0,3702853.0,3917267.0,3967485.0,4047903.0,3991214.0,4038230.0,4062417.0,4374546.0,4281381.0,4224931.0,4281997.0,4419978.0,4501805.0,4723999.0,4796892.0,4822508.0,4692018.0,4652724.0,4570342.0
Изменения за месяц в %,-0.2,0.1,2.2,1.6,-1.0,6.0,2.6,-1.4,0.6,-0.2,-1.8,3.4,-3.3,-1.7,0.7,4.5,-0.4,4.3,0.3,0.2,1.1,-0.6,-1.7,4.8,-0.7,0.2,0.5,,1.8,5.8,1.3,2.0,-1.4,1.2,0.6,7.7,-2.1,-1.3,1.4,3.2,1.9,4.9,1.5,0.5,-2.7,-0.8,-1.8
"Изменение за период с начала года, %",-0.2,-0.2,2.0,3.6,2.6,8.8,11.6,10.0,10.6,10.4,8.5,12.1,-3.3,-4.9,-4.2,0.1,-0.3,4.0,4.4,4.6,5.7,5.1,3.3,8.3,-0.7,-0.5,,,1.7,7.6,9.0,11.2,9.7,11.0,11.6,20.2,-2.1,-3.4,-2.1,1.0,2.9,8.0,9.7,10.2,7.3,6.4,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. M1,8768737.0,8944223.0,8926147.0,8498602.0,8378061.0,8891388.0,8884711.0,8801537.0,8707879.0,8846006.0,9042731.0,9382455.0,8890492.0,8606227.0,8592426.0,8652229.0,8948466.0,9752118.0,9446279.0,9358085.0,9416814.0,9421155.0,9431066.0,10380883.0,9553002.0,9658325.0,9402329.0,9960431.0,10119371.0,10656953.0,11025171.0,10805253.0,10837433.0,10667791.0,10390724.0,11364043.0,10559684.0,10530798.0,10231744.0,10578489.0,10607383.0,11332249.0,11072599.0,11199909.0,11365179.0,11164141.0,11333866.0
Изменения за месяц в %,-0.2,2.0,-0.2,-4.8,-1.4,6.1,-0.1,-0.9,-1.1,1.6,2.2,3.8,-5.2,-3.2,-0.2,0.7,3.4,9.0,-3.1,-0.9,0.6,,0.1,10.1,-8.0,1.1,-2.7,5.9,1.6,5.3,3.5,-2.0,0.3,-1.6,-2.6,9.4,-7.1,-0.3,-2.8,3.4,0.3,6.8,-2.3,1.1,1.5,-1.8,1.5
"Изменение за период с начала года, %",-0.2,1.8,1.6,-3.3,-4.7,1.2,1.1,0.2,-0.9,0.7,2.9,6.8,-5.2,-8.3,-8.4,-7.8,-4.6,3.9,0.7,-0.3,0.4,0.4,0.5,10.6,-8.0,-7.0,-9.4,-4.1,-2.5,2.7,6.2,4.1,4.4,2.8,0.1,9.5,-7.1,-7.3,-10.0,-6.9,-6.7,-0.3,-2.6,-1.4,,-1.8,-0.3
3.1 переводимые депозиты населения в тенге,1529328.0,1554692.0,1620655.0,1476162.0,1423016.0,1601670.0,1551299.0,1493737.0,1555820.0,1538998.0,1563366.0,1805022.0,1488592.0,1530180.0,1626215.0,1646464.0,1704746.0,1901905.0,1854063.0,1762992.0,1818823.0,1822901.0,1792237.0,2132362.0,1714094.0,1784260.0,1765178.0,1850628.0,1922026.0,2133732.0,2107354.0,2074544.0,2003948.0,2024988.0,1972671.0,2395216.0,1965188.0,1963022.0,1943759.0,2066041.0,2074611.0,2234722.0,2185806.0,2164098.0,2166156.0,2195308.0,2113425.0
3.2 переводимые депозиты небанковских юридических лиц в тенге,4248413.0,4397002.0,4246873.0,3915859.0,3878273.0,4029491.0,3988764.0,4011111.0,3835813.0,3997333.0,4228178.0,4216780.0,4150773.0,3879959.0,3747066.0,3642243.0,3892334.0,4354873.0,4085351.0,4080677.0,4044620.0,4066421.0,4166904.0,4608860.0,4224489.0,4253396.0,3998057.0,4471317.0,4494492.0,4605954.0,4950332.0,4682805.0,4842271.0,4604572.0,4355637.0,4594281.0,4313115.0,4342844.0,4005988.0,4092470.0,4030967.0,4373529.0,4089901.0,4213304.0,4507004.0,4316110.0,4650099.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
