Кредиты, выданные банковским сектором в региональном разрезе;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
млн. тенге, за период;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;за январь 2022 года;;;;;за февраль 2022 года;;;;;за март 2022 года;;;;;за апрель 2022 года;;;;;за май 2022 года;;;;;за июнь 2022 года***;;;;;за июль 2022 года;;;;;за август 2022 года;;;;;за сентябрь 2022 года;;;;;за октябрь 2022 года;;;;;за ноябрь 2022 года;;;;;за декабрь 2022 года;;;;;за 2022 год;;;;
;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;
;;в национальной валюте;в иностранной валюте;в национальной валюте;Loans;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Всего по республике:;1 361 805;682 426;39 199;636 001;4 180;1 805 798;826 273;100 449;860 454;18 622;1 920 481;920 302;119 064;799 672;81 443;1 893 336;915 030;80 423;868 542;29 341;1 849 985;949 938;71 825;811 050;17 172;2 105 701;997 961;81 385;1 007 463;18 892;2 053 606;900 618;46 739;1 074 251;31 997;2 188 912;1 048 889;58 247;1 066 267;15 508;2 111 420;938 959;144 411;987 261;40 789;2 083 309;916 419;117 349;1 017 677;31 864;2 431 362;889 354;139 542;1 385 106;17 360;2 618 302;1 156 965;185 072;1 193 003;83 262;24 424 017;11 143 134;1 183 704;11 706 749;390 430
Акмолинская;16 774;4 721;320;11 733;0;22 605;6 815;463;15 327;0;27 131;6 867;1 062;19 201;1;30 915;10 178;3 552;17 185;0;28 268;7 853;2 854;17 560;0;27 221;7 654;859;18 708;1;31 197;6 902;3 331;20 963;1;35 147;8 231;4 760;22 155;0;34 058;9 317;3 731;21 009;0;31 370;10 006;736;20 627;0;32 123;7 964;0;24 159;0;40 969;11 024;399;29 545;0;357 779;97 534;22 067;238 174;3
Актюбинская;35 549;12 330;927;22 291;0;52 349;20 858;611;30 880;0;44 799;15 486;491;28 821;1;47 362;15 407;615;31 339;0;53 240;20 066;0;33 174;0;61 825;23 110;0;38 715;0;67 822;20 112;489;46 823;398;71 225;25 329;316;45 333;247;71 221;26 624;713;43 885;0;62 926;19 961;254;42 605;106;78 229;25 057;508;52 620;43;73 209;26 927;10;46 210;63;719 755;251 267;4 933;462 696;860
Алматинская и Жетысу;22 736;6 643;0;16 093;0;35 654;9 550;0;26 103;0;36 016;8 783;203;27 029;1;37 815;7 227;0;30 588;0;42 135;10 231;0;31 903;0;49 205;11 772;0;37 432;0;44 737;8 448;0;36 289;0;53 113;12 572;0;40 542;0;43 386;13 038;111;30 238;0;44 694;14 180;0;30 514;0;48 726;10 708;0;38 019;0;49 557;12 002;0;37 555;0;507 774;125 153;314;382 305;2
Атырауская;31 074;11 391;925;18 758;0;46 755;15 462;431;30 838;24;41 452;13 546;2 411;25 495;0;44 216;13 728;646;29 842;0;49 199;18 528;768;29 904;0;55 722;20 353;287;35 074;9;53 252;15 701;776;36 772;3;67 999;21 528;180;46 290;1;58 104;22 045;414;35 640;5;55 793;19 101;1 569;34 926;198;61 657;19 061;1 902;40 481;214;60 535;21 840;2 856;35 690;149;625 760;212 283;13 165;399 708;603
Восточно-Казахстанская и Абай;40 903;15 471;174;25 249;9;57 400;22 631;194;34 567;8;61 378;18 992;5 085;37 300;1;63 538;20 384;1 585;41 565;5;71 834;26 848;308;41 642;3 036;71 877;25 907;156;45 806;9;76 454;26 781;1 462;48 204;6;85 629;34 777;1 145;49 705;2;69 341;23 010;4 653;41 669;10;75 000;29 099;1 733;44 161;8;92 268;34 528;2 699;55 034;6;82 276;29 980;2 887;49 405;3;847 897;308 408;22 079;514 307;3 103
Жамбылская;21 388;5 505;0;15 882;0;32 851;8 640;0;24 211;0;30 029;7 341;0;22 687;0;33 544;8 969;0;24 575;0;35 570;10 543;0;25 027;0;41 474;12 141;0;29 333;0;46 373;10 205;0;36 168;0;44 843;11 620;0;33 224;0;42 745;12 179;0;30 567;0;42 622;11 375;0;31 247;0;52 656;13 601;0;39 055;0;45 615;15 072;0;30 543;0;469 710;127 190;0;342 519;1
