Кредиты, выданные банковским сектором в региональном разрезе;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
млн. тенге, за период;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;за январь 2023 года;;;;;за февраль 2023 года;;;;;за март 2023 года;;;;;за апрель 2023 года;;;;;за май 2023 года;;;;;за июнь 2023 года;;;;;за июль 2023 года;;;;;за август 2023 года;;;;;за сентябрь 2023 года;;;;;за октябрь 2023 года;;;;;за ноябрь 2023 года;;;;;за декабрь 2023 года1;;;;;за 2023 год;;;;;;
;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;;
;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Всего по республике:;1 744 848;805 004;56 727;797 452;85 665;1 810 209;853 810;69 789;865 978;20 632;2 201 971;803 340;68 294;1 294 090;36 246;2 463 410;779 704;63 878;1 552 451;67 378;2 533 355;934 168;86 659;1 470 396;42 132;2 526 307;840 154;92 630;1 552 388;41 135;2 640 100;714 943;68 384;1 779 526;77 247;2 817 271;885 951;92 448;1 640 717;198 154;2 576 844;989 093;61 656;1 487 201;38 895;2 687 681;897 879;70 224;1 608 316;111 263;2 950 429;938 601;73 796;1 831 685;106 347;3 764 049;1 183 812;241 825;1 998 167;340 244;30 716 473;10 626 459;1 046 310;17 878 367;1 165 337;;
Абай;13 134;3 574;0;9 560;0;14 909;3 382;0;11 527;0;30 279;5 989;0;24 290;0;35 726;4 070;0;28 846;2 810;39 803;6 607;34;32 312;850;40 249;10 266;0;29 312;671;39 657;6 160;0;33 497;0;38 835;5 803;0;33 032;0;38 803;8 854;567;29 382;0;39 444;5 652;0;33 792;0;46 793;4 869;0;41 923;0;46 027;8 742;0;37 285;0;423 660;73 969;601;344 758;4 332;;
Акмолинская;23 116;8 547;0;14 569;0;26 474;8 753;63;17 658;0;33 256;8 974;0;24 282;0;38 744;11 058;1 355;26 331;0;42 968;13 030;0;29 938;0;42 353;7 341;0;35 012;0;41 611;6 109;0;35 502;0;43 874;6 687;4 940;32 246;0;37 771;11 364;800;25 607;0;38 664;8 771;172;29 721;0;43 738;8 246;0;35 491;0;47 215;8 953;0;38 261;0;459 783;107 832;7 330;344 620;1;;
Актюбинская;56 668;22 139;0;34 529;0;58 927;21 861;0;37 066;0;69 454;20 092;170;49 162;30;76 565;20 893;398;55 230;44;80 672;19 518;0;61 154;0;84 222;21 643;0;61 790;789;91 913;18 032;0;73 880;2;86 153;21 343;0;64 393;417;75 883;26 081;0;49 536;266;80 674;24 519;0;55 763;393;93 632;23 890;0;68 976;766;95 602;27 855;0;67 747;0;950 365;267 864;569;679 225;2 708;;
Алматинская ;16 252;2 442;0;13 810;0;18 039;3 042;0;14 997;0;22 971;1 484;0;21 487;0;29 668;1 829;0;27 839;0;31 044;1 161;0;29 882;0;31 367;1 125;0;30 242;0;23 061;840;0;22 221;0;22 910;1 201;0;21 709;0;17 677;4 370;0;13 307;0;18 724;533;0;18 191;0;18 186;1 240;0;16 946;0;23 414;817;0;22 597;0;273 312;20 084;0;253 228;0;;
Атырауская;47 465;18 061;2 150;27 074;180;49 040;17 721;1 956;29 255;108;53 809;13 324;684;39 654;147;71 402;15 132;2 380;53 888;1;74 200;14 834;839;58 526;0;65 778;14 608;1 116;50 052;1;76 636;13 215;857;62 562;0;76 218;17 588;1 551;57 077;1;70 917;25 347;1 117;44 453;0;71 897;19 661;566;51 670;0;88 367;19 241;2 182;66 944;0;82 965;21 727;2 713;58 525;0;828 693;210 461;18 111;599 682;440;;
Восточно-Казахстанская;40 075;14 927;0;25 142;6;56 526;26 497;0;30 025;4;52 339;15 022;0;37 305;12;61 551;13 516;0;48 027;8;70 498;23 193;0;47 297;9;58 313;14 877;0;43 434;2;64 627;13 598;0;51 018;11;58 683;13 741;0;44 939;2;72 510;19 115;0;53 393;2;84 930;30 504;1 432;52 993;1;79 054;16 968;0;62 083;3;77 341;20 216;0;57 123;2;776 448;222 175;1 433;552 778;63;;
