Кредиты, выданные банковским сектором в региональном разрезе;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
млн. тенге, за период;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;за январь 2024 года;;;;;за февраль 2024 года;;;;;за март 2024 года;;;;;за апрель 2024 года;;;;;за май 2024 года;;;;;за июнь 2024 года;;;;;за июль 2024 года;;;;;за август 2024 года;;;;;за сентябрь 2024 года;;;;;за октябрь 2024 года;;;;;за ноябрь 2024 года;;;;;за декабрь 2024 года1;;;;;за 2024 год;;;;
;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;
;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Всего по республике:;2 365 416;843 189;69 591;1 400 807;51 828;2 914 555;961 140;140 519;1 707 820;105 076;2 630 123;1 050 233;153 730;1 388 872;37 288;2 870 413;1 177 159;196 770;1 447 545;48 940;2 780 829;1 154 223;142 751;1 446 012;37 843;3 040 089;1 131 723;222 603;1 616 356;69 407;3 132 601;1 218 212;121 928;1 744 267;48 194;3 109 071;1 195 678;138 904;1 683 783;90 705;3 211 820;1 264 445;119 416;1 701 190;126 769;3 178 487;1 140 933;199 014;1 774 378;64 162;3 638 089;1 404 328;192 869;1 858 438;182 454;4 023 903;1 383 778;309 770;2 206 055;124 300;36 895 396;13 925 042;2 007 865;19 975 521;986 967
Абай;34 796;6 050;0;28 745;0;41 052;7 545;0;33 507;0;42 855;11 286;674;30 895;0;45 911;11 271;0;34 640;0;46 960;12 812;0;34 148;0;50 040;12 803;0;37 237;0;54 482;16 080;0;38 402;0;56 189;13 089;0;43 099;0;53 555;15 016;0;38 539;0;56 700;16 808;0;39 893;0;59 952;17 867;903;41 182;0;62 441;16 484;125;45 833;0;604 933;157 110;1 702;446 121;0
Акмолинская;33 341;6 455;128;26 758;0;42 378;6 906;829;31 930;2 713;46 743;11 456;1 508;33 778;0;45 336;15 463;93;29 781;0;41 135;11 863;139;29 133;0;43 108;10 647;241;32 221;0;47 059;11 532;227;35 300;0;49 333;13 329;291;35 712;0;43 922;11 577;419;31 925;0;47 297;11 609;0;35 688;0;47 273;11 659;0;35 615;0;60 635;13 340;0;47 295;0;547 560;135 835;3 874;405 137;2 713
Актюбинская;65 199;15 886;0;49 071;242;80 876;20 615;0;60 027;234;79 840;25 247;0;54 065;528;85 786;26 751;0;59 035;0;88 838;26 625;0;62 214;0;92 625;26 094;0;66 531;0;100 819;28 695;0;72 110;15;95 273;26 677;0;68 595;0;94 747;29 569;0;65 101;77;97 262;29 252;0;68 011;0;116 050;39 852;0;76 198;0;122 191;46 107;0;76 085;0;1 119 507;341 370;0;777 040;1 096
Алматинская ;17 355;462;0;16 893;0;18 458;617;0;17 841;0;20 593;2 442;0;18 151;0;25 115;3 431;0;21 684;0;27 066;1 954;0;25 112;0;30 104;3 242;0;26 861;0;30 650;2 831;0;27 820;0;27 635;3 247;0;24 389;0;28 519;3 997;0;24 522;0;26 981;3 527;0;23 453;0;25 445;2 198;;23 247;0;33 843;6 056;0;27 788;0;311 766;34 004;0;277 761;0
Атырауская;62 719;12 932;1 658;48 129;0;79 685;17 360;2 243;60 082;0;75 797;28 400;1 020;46 378;0;62 593;24 329;2 134;36 130;0;73 388;29 400;1 437;42 549;2;75 177;23 415;2 876;48 885;1;87 040;29 317;1 758;55 965;0;85 355;28 996;1 839;54 520;0;84 215;29 618;2 216;52 372;9;88 611;31 369;2 893;54 349;0;97 004;32 972;2 909;61 087;36;99 960;31 932;2 545;65 483;0;971 545;320 041;25 528;625 929;48
Восточно-Казахстанская;50 022;10 270;0;39 751;1;74 890;17 344;3;57 540;4;59 710;19 712;0;38 648;1 351;67 734;25 959;0;41 768;7;65 668;22 201;0;43 462;5;88 956;40 439;0;48 516;1;64 919;17 029;0;47 886;4;92 130;45 126;0;47 002;1;68 191;22 356;0;45 803;32;65 151;19 731;0;45 418;2;70 265;21 194;0;49 058;13;92 501;38 896;0;53 599;5;860 138;300 258;3;558 452;1 425
