Кредиты, выданные банковским сектором в региональном разрезе;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
млн. тенге, за период;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;за январь 2025 года;;;;;за февраль 2025 года;;;;;за март 2025 года;;;;;за апрель 2025 года;;;;;за май 2025 года;;;;;за июнь 2025 года;;;;;за июль 2025 года;;;;;за август 2025 года;;;;;за сентябрь 2025 года;;;;;за октябрь 2025 года;;;;;за ноябрь 2025 года;;;;;;;;;
;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;всего;краткосрочные;;долгосрочные;;;;;;
;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;в национальной валюте;в иностранной валюте;в национальной валюте;в иностранной валюте;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Всего по республике:;2 374 352;882 336;123 256;1 334 676;34 084;3 051 650;1 090 557;252 181;1 619 160;89 753;3 016 480;1 068 174;188 118;1 663 299;96 889;3 516 554;1 300 769;244 783;1 909 467;61 535;3 351 770;1 217 817;259 570;1 769 066;105 317;3 468 826;1 217 791;189 148;1 962 358;99 530;3 612 002;1 147 126;277 749;1 971 522;215 605;3 654 670;1 216 297;165 122;2 020 120;253 131;3 776 334;1 221 775;228 364;2 057 470;268 725;3 629 131;1 183 510;443 022;1 835 640;166 959;3 478 308;1 137 771;214 068;1 846 259;280 210;;;;;
Абай;39 398;9 476;0;29 922;0;45 546;10 805;0;34 741;0;48 274;10 889;0;37 384;0;57 907;13 442;948;43 517;0;53 302;14 711;1 039;37 552;0;60 969;15 776;363;44 830;0;53 219;11 320;0;41 899;0;55 591;14 233;460;40 898;0;55 157;14 994;306;39 857;0;57 114;17 753;1 681;37 679;0;52 081;16 338;2 241;33 502;0;;;;;
Акмолинская;34 831;9 015;0;25 816;0;39 984;10 363;0;29 622;0;44 449;12 099;362;31 987;0;52 782;19 818;0;32 964;0;48 859;17 071;0;31 788;0;54 520;14 246;0;40 275;0;53 503;11 454;0;42 049;0;50 865;13 422;0;37 442;0;50 313;14 179;0;36 134;0;48 643;13 726;0;34 916;0;46 612;13 471;0;33 141;0;;;;;
Актюбинская;75 716;23 350;0;52 366;0;87 435;26 775;0;60 660;0;92 027;27 675;;64 352;0;106 572;33 426;0;73 136;11;103 116;34 817;0;68 296;3;107 764;33 158;0;74 606;0;109 191;30 356;0;78 836;0;115 782;32 986;2 312;80 484;0;120 171;38 315;2 297;79 559;0;104 014;32 930;914;70 170;0;101 158;30 912;2 137;68 109;0;;;;;
Алматинская ;17 381;1 390;0;15 990;0;22 650;2 605;0;20 044;0;28 104;4 878;0;23 226;0;40 693;5 525;0;35 167;0;33 488;3 668;0;29 820;0;36 551;4 412;0;32 138;0;33 454;3 495;0;29 959;0;38 607;6 771;0;31 836;0;27 613;4 425;;23 188;0;23 738;3 490;0;20 249;0;24 554;6 015;0;18 539;0;;;;;
Атырауская;64 241;18 989;484;44 769;0;80 105;25 846;1 253;53 006;0;87 445;33 082;1 667;52 695;0;89 597;26 518;1 829;61 251;0;92 018;32 016;2 622;57 380;0;96 466;33 545;1 218;61 703;0;94 570;32 091;548;61 931;0;100 696;35 785;1 441;63 470;0;98 526;31 612;553;66 361;0;92 222;35 124;197;56 901;0;89 231;32 277;2 737;54 217;0;;;;;
Восточно-Казахстанская;52 417;18 218;0;34 193;6;60 943;19 674;0;41 264;5;70 984;21 595;0;49 385;4;80 783;27 539;0;53 242;2;79 983;30 720;0;49 261;2;85 256;36 105;0;49 150;1;76 140;19 715;0;49 660;6 765;76 507;21 433;0;55 070;3;81 239;25 858;0;55 376;4;69 194;20 784;0;48 408;3;73 070;25 382;0;47 687;1;;;;;
Жамбылская;59 016;13 475;284;45 257;0;69 872;15 669;25;54 178;0;70 744;16 480;0;54 264;0;74 107;16 825;622;56 660;0;71 468;16 427;0;55 041;0;83 483;19 855;0;63 628;0;83 462;17 487;0;65 975;0;91 170;18 960;0;72 209;0;92 080;19 406;2 790;69 884;0;89 156;21 617;2 682;64 857;0;84 083;20 870;1 240;61 973;0;;;;;
